TalentFamily,TalentName,NodeID,ProgressionDepth,VisualRow,Rank,Cost,RequiredPathCost,EffectType,RawValue,DisplayedValue,MarginalGain,GainPerPoint,ParentNodeID,BuffID,PatternType,Confidence
GSSkillTree / Arme à feu / Arme à feu - Kata / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme à feu augmentés,Dégâts de compétence à l'arme à feu augmentés 2/3,2356101,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,4,4,4,NON DÉTERMINÉ,,200000038,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme à feu / Arme à feu - Kata / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme à feu augmentés,Dégâts de compétence à l'arme à feu augmentés 3/3,2356101,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,4,4,4,NON DÉTERMINÉ,,200000038,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme à feu / Visée patiente / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme à feu augmentés,Dégâts de compétence à l'arme à feu augmentés 1/3,2357102,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,4,4,4,NON DÉTERMINÉ,,200000045,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme à feu / Visée patiente / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme à feu augmentés,Dégâts de compétence à l'arme à feu augmentés 2/3,2357102,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,4,4,4,NON DÉTERMINÉ,,200000045,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme à feu / Visée patiente / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme à feu augmentés,Dégâts de compétence à l'arme à feu augmentés 3/3,2357102,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,4,4,4,NON DÉTERMINÉ,,200000045,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme à feu / Visée patiente / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 1/3,2357202,1,2,1,2 WeaponPoint,3,ArmPenP,25,0.25%,0.25%,0.125,2357102,200000046,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
GSSkillTree / Arme à feu / Visée patiente / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 2/3,2357202,1,2,2,NON DÉTERMINÉ,3,ArmPenP,25,0.25%,0.25%,NON DÉTERMINÉ,2357102,200000046,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme à feu / Visée patiente / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 3/3,2357202,1,2,3,NON DÉTERMINÉ,3,ArmPenP,25,0.25%,0.25%,NON DÉTERMINÉ,2357102,200000046,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme à feu / Visée patiente / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 1/3,2357402,3,4,1,2 WeaponPoint,8,ArmPenP,25,0.25%,0.25%,0.125,2357302,200000048,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
GSSkillTree / Arme à feu / Visée patiente / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 2/3,2357402,3,4,2,NON DÉTERMINÉ,8,ArmPenP,25,0.25%,0.25%,NON DÉTERMINÉ,2357302,200000048,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme à feu / Visée patiente / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 3/3,2357402,3,4,3,NON DÉTERMINÉ,8,ArmPenP,25,0.25%,0.25%,NON DÉTERMINÉ,2357302,200000048,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Recherche de PM / IncreaseDamageByEquipGs / Dégâts de compétence de Concentration augmentés,Dégâts de compétence de Concentration augmentés 1/3,2358102,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,,200000050,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Recherche de PM / IncreaseDamageByEquipGs / Dégâts de compétence de Concentration augmentés,Dégâts de compétence de Concentration augmentés 2/3,2358102,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,,200000050,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Recherche de PM / IncreaseDamageByEquipGs / Dégâts de compétence de Concentration augmentés,Dégâts de compétence de Concentration augmentés 3/3,2358102,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,,200000050,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Recherche de PM / WeaknessElementDamage / Détection de faiblesse,Détection de faiblesse,2358202,1,2,1,3 WeaponPoint,3,WeaknessElementDamage,150,150,150,NON DÉTERMINÉ,2358102,200000051,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Recherche de PM / ElementCumulativeDam / Amélioration d'accablement,Amélioration d'accablement 1/3,2358301,2,3,1,3 WeaponPoint,6,ElementCumulativeDam,1,1,1,NON DÉTERMINÉ,2358202,200000052,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Recherche de PM / ElementCumulativeDam / Amélioration d'accablement,Amélioration d'accablement 2/3,2358301,2,3,2,NON DÉTERMINÉ,6,ElementCumulativeDam,1,1,1,NON DÉTERMINÉ,2358202,200000052,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Recherche de PM / ElementCumulativeDam / Amélioration d'accablement,Amélioration d'accablement 3/3,2358301,2,3,3,NON DÉTERMINÉ,6,ElementCumulativeDam,1,1,1,NON DÉTERMINÉ,2358202,200000052,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Recherche de PM / ElementCumulativeDam / Amélioration de chaos,Amélioration de chaos 1/3,2358303,2,3,1,3 WeaponPoint,6,ElementCumulativeDam,1,1,1,NON DÉTERMINÉ,2358202,200000053,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Recherche de PM / ElementCumulativeDam / Amélioration de chaos,Amélioration de chaos 2/3,2358303,2,3,2,NON DÉTERMINÉ,6,ElementCumulativeDam,1,1,1,NON DÉTERMINÉ,2358202,200000053,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Recherche de PM / ElementCumulativeDam / Amélioration de chaos,Amélioration de chaos 3/3,2358303,2,3,3,NON DÉTERMINÉ,6,ElementCumulativeDam,1,1,1,NON DÉTERMINÉ,2358202,200000053,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Recherche de PM / EnhanceElementValue / Recherche d'élément,Recherche d'élément,2358501,3,4,1,3 WeaponPoint,9,EnhanceElementValue,150,150,150,NON DÉTERMINÉ,2358301,200000054,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Recherche de PM / BaseStatConversionOnSkillDamage / Onde de mana,Onde de mana,2358503,3,4,1,3 WeaponPoint,9,BaseStatConversionOnSkillDamage,2,2,2,NON DÉTERMINÉ,2358303,200000055,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Énergie de mana fluide / IncreaseDamageByEquipGs / Dégâts de compétence de Concentration augmentés,Dégâts de compétence de Concentration augmentés 1/3,2359101,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,,200000056,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Énergie de mana fluide / IncreaseDamageByEquipGs / Dégâts de compétence de Concentration augmentés,Dégâts de compétence de Concentration augmentés 2/3,2359101,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,,200000056,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Énergie de mana fluide / IncreaseDamageByEquipGs / Dégâts de compétence de Concentration augmentés,Dégâts de compétence de Concentration augmentés 3/3,2359101,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,,200000056,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Énergie de mana fluide / IncreaseDamageByEquipGs / Dégâts de compétence de Concentration augmentés,Dégâts de compétence de Concentration augmentés 1/3,2359103,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,,200000057,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Énergie de mana fluide / IncreaseDamageByEquipGs / Dégâts de compétence de Concentration augmentés,Dégâts de compétence de Concentration augmentés 2/3,2359103,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,,200000057,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Énergie de mana fluide / IncreaseDamageByEquipGs / Dégâts de compétence de Concentration augmentés,Dégâts de compétence de Concentration augmentés 3/3,2359103,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,,200000057,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Énergie de mana fluide / MPCostReduP / Amélioration de mana,Amélioration de mana,2359202,1,2,1,3 WeaponPoint,6,MPCostReduP,-2000,-2000,-2000,NON DÉTERMINÉ,"2359101,2359103",200000058,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Énergie de mana fluide / IncreaseDamageByEquipGs / Amélioration de mana,Amélioration de mana,2359202,1,2,1,3 WeaponPoint,6,IncreaseDamageByEquipGs,7,7,7,NON DÉTERMINÉ,"2359101,2359103",200000058,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Focalisateur / Énergie de mana fluide / PM max / Augmente les PM max,Augmente les PM max 1/3,2359402,2,3,1,2 WeaponPoint,9,AddMMP,66,0.66%,0.66%,0.33,2359202,200000059,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Focalisateur / Énergie de mana fluide / PM max / Augmente les PM max,Augmente les PM max 2/3,2359402,2,3,2,NON DÉTERMINÉ,9,AddMMP,66,0.66%,0.66%,NON DÉTERMINÉ,2359202,200000059,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Focalisateur / Énergie de mana fluide / PM max / Augmente les PM max,Augmente les PM max 3/3,2359402,2,3,3,NON DÉTERMINÉ,9,AddMMP,66,0.66%,0.66%,NON DÉTERMINÉ,2359202,200000059,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Fer-de-lance dévié / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme d'hast augmentés,Dégâts de compétence à l'arme d'hast augmentés 1/3,2460102,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,5,5,5,NON DÉTERMINÉ,,200000062,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme d'hast / Fer-de-lance dévié / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme d'hast augmentés,Dégâts de compétence à l'arme d'hast augmentés 2/3,2460102,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,5,5,5,NON DÉTERMINÉ,,200000062,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Fer-de-lance dévié / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme d'hast augmentés,Dégâts de compétence à l'arme d'hast augmentés 3/3,2460102,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,5,5,5,NON DÉTERMINÉ,,200000062,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Fer-de-lance dévié / BreakModifier / Smash,Smash 1/3,2460202,1,2,1,2 WeaponPoint,3,BreakModifier,200,200,200,NON DÉTERMINÉ,2460102,200000063,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme d'hast / Fer-de-lance dévié / BreakModifier / Smash,Smash 2/3,2460202,1,2,2,NON DÉTERMINÉ,3,BreakModifier,200,200,200,NON DÉTERMINÉ,2460102,200000063,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Fer-de-lance dévié / BreakModifier / Smash,Smash 3/3,2460202,1,2,3,NON DÉTERMINÉ,3,BreakModifier,200,200,200,NON DÉTERMINÉ,2460102,200000063,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Fer-de-lance dévié / Hausse des dégâts conditionnelle / Attaque pulvérisante,Attaque pulvérisante,2460403,3,4,1,3 WeaponPoint,8,IncreaseDamageByTargetSpecialState,300,3%,3%,1,2460302,200000065,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arme d'hast / Fer-de-lance dévié / Hausse des dégâts conditionnelle / Attaque pulvérisante,Attaque pulvérisante,2460403,3,4,1,3 WeaponPoint,8,IncreaseDamageByTargetSpecialState,300,3%,3%,1,2460302,200000065,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arme d'hast / Frappe brutale / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme d'hast augmentés,Dégâts de compétence à l'arme d'hast augmentés 1/3,2461102,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,5,5,5,NON DÉTERMINÉ,,200000068,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme d'hast / Frappe brutale / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme d'hast augmentés,Dégâts de compétence à l'arme d'hast augmentés 2/3,2461102,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,5,5,5,NON DÉTERMINÉ,,200000068,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Frappe brutale / IncreaseDamageByEquipGs / Dégâts de compétence à l'arme d'hast augmentés,Dégâts de compétence à l'arme d'hast augmentés 3/3,2461102,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,5,5,5,NON DÉTERMINÉ,,200000068,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Frappe brutale / Réduction des dégâts / Physique endurant,Physique endurant 1/3,2461401,2,3,1,3 WeaponPoint,6,DamReduP,50,0.5%,0.5%,0.1667,2461302,200000070,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arme d'hast / Frappe brutale / Réduction des dégâts / Physique endurant,Physique endurant 2/3,2461401,2,3,2,NON DÉTERMINÉ,6,DamReduP,50,0.5%,0.5%,NON DÉTERMINÉ,2461302,200000070,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Frappe brutale / Réduction des dégâts / Physique endurant,Physique endurant 3/3,2461401,2,3,3,NON DÉTERMINÉ,6,DamReduP,50,0.5%,0.5%,NON DÉTERMINÉ,2461302,200000070,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Frappe brutale / PV / Amélioration des PV,Amélioration des PV 1/3,2461403,2,3,1,2 WeaponPoint,6,IncreaseMHP,100,1%,1%,0.5,2461302,200000071,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arme d'hast / Frappe brutale / PV / Amélioration des PV,Amélioration des PV 2/3,2461403,2,3,2,NON DÉTERMINÉ,6,IncreaseMHP,100,1%,1%,NON DÉTERMINÉ,2461302,200000071,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme d'hast / Frappe brutale / PV / Amélioration des PV,Amélioration des PV 3/3,2461403,2,3,3,NON DÉTERMINÉ,6,IncreaseMHP,100,1%,1%,NON DÉTERMINÉ,2461302,200000071,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Ruée de berserker / IncreaseDamageByEquipGs / Dégâts de compétence d'arme à deux mains augmentés,Dégâts de compétence d'arme à deux mains augmentés 1/3,2462102,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,8,8,8,NON DÉTERMINÉ,,200000074,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme à deux mains / Ruée de berserker / IncreaseDamageByEquipGs / Dégâts de compétence d'arme à deux mains augmentés,Dégâts de compétence d'arme à deux mains augmentés 2/3,2462102,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,8,8,8,NON DÉTERMINÉ,,200000074,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Ruée de berserker / IncreaseDamageByEquipGs / Dégâts de compétence d'arme à deux mains augmentés,Dégâts de compétence d'arme à deux mains augmentés 3/3,2462102,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,8,8,8,NON DÉTERMINÉ,,200000074,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Ruée de berserker / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 1/3,2462202,1,2,1,2 WeaponPoint,3,CriDamP,25,0.25%,0.25%,0.125,2462102,200000075,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arme à deux mains / Ruée de berserker / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 2/3,2462202,1,2,2,NON DÉTERMINÉ,3,CriDamP,25,0.25%,0.25%,NON DÉTERMINÉ,2462102,200000075,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Ruée de berserker / Dégâts critiques / Dégâts de coup critique augmentés,Dégâts de coup critique augmentés 3/3,2462202,1,2,3,NON DÉTERMINÉ,3,CriDamP,25,0.25%,0.25%,NON DÉTERMINÉ,2462102,200000075,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Ruée de berserker / IncreaseDamageByEquipGs / Porte de la mort,Porte de la mort,2462403,2,4,1,3 WeaponPoint,5,IncreaseDamageByEquipGs,8,8,8,NON DÉTERMINÉ,2462202,200000077,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme à deux mains / Ruée de berserker / ShieldModifier / Porte de la mort,Porte de la mort,2462403,2,4,1,3 WeaponPoint,5,ShieldModifier,-2000,-2000,-2000,NON DÉTERMINÉ,2462202,200000077,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme à deux mains / Ruée de berserker / Réduction des dégâts / Posture offensive,Posture offensive,2462501,3,5,1,3 WeaponPoint,8,DamReduP,-250,-2.5%,-2.5%,-0.8333,2462301,200000078,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arme à deux mains / Ruée de berserker / Hausse des dégâts / Posture offensive,Posture offensive,2462501,3,5,1,3 WeaponPoint,8,DamP,400,4%,4%,1.3333,2462301,200000078,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arme à deux mains / Ruée de berserker / IncreaseDamageByEquipGs / Frappe sanglante,Frappe sanglante,2462503,3,5,1,3 WeaponPoint,8,IncreaseDamageByEquipGs,8,8,8,NON DÉTERMINÉ,2462403,200000079,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme à deux mains / Contre-offensive et restauration / IncreaseDamageByEquipGs / Dégâts de compétence d'arme à deux mains augmentés,Dégâts de compétence d'arme à deux mains augmentés 1/3,2463102,0,1,1,3 WeaponPoint,0,IncreaseDamageByEquipGs,8,8,8,NON DÉTERMINÉ,,200000080,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
GSSkillTree / Arme à deux mains / Contre-offensive et restauration / IncreaseDamageByEquipGs / Dégâts de compétence d'arme à deux mains augmentés,Dégâts de compétence d'arme à deux mains augmentés 2/3,2463102,0,1,2,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,8,8,8,NON DÉTERMINÉ,,200000080,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Contre-offensive et restauration / IncreaseDamageByEquipGs / Dégâts de compétence d'arme à deux mains augmentés,Dégâts de compétence d'arme à deux mains augmentés 3/3,2463102,0,1,3,NON DÉTERMINÉ,0,IncreaseDamageByEquipGs,8,8,8,NON DÉTERMINÉ,,200000080,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Contre-offensive et restauration / Précision / Précision augmentée,Précision augmentée 1/3,2463202,1,2,1,2 WeaponPoint,3,PrecisionP,50,0.5%,0.5%,0.25,2463102,200000081,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arme à deux mains / Contre-offensive et restauration / Précision / Précision augmentée,Précision augmentée 2/3,2463202,1,2,2,NON DÉTERMINÉ,3,PrecisionP,50,0.5%,0.5%,NON DÉTERMINÉ,2463102,200000081,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Contre-offensive et restauration / Précision / Précision augmentée,Précision augmentée 3/3,2463202,1,2,3,NON DÉTERMINÉ,3,PrecisionP,50,0.5%,0.5%,NON DÉTERMINÉ,2463102,200000081,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Contre-offensive et restauration / Attaque / Attaque augmentée,Attaque augmentée 1/3,2463302,2,3,1,2 WeaponPoint,5,AttFR,50,0.5%,0.5%,0.25,2463202,200000082,NON DÉTERMINÉ,FORTEMENT PROBABLE
GSSkillTree / Arme à deux mains / Contre-offensive et restauration / Attaque / Attaque augmentée,Attaque augmentée 2/3,2463302,2,3,2,NON DÉTERMINÉ,5,AttFR,50,0.5%,0.5%,NON DÉTERMINÉ,2463202,200000082,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
GSSkillTree / Arme à deux mains / Contre-offensive et restauration / Attaque / Attaque augmentée,Attaque augmentée 3/3,2463302,2,3,3,NON DÉTERMINÉ,5,AttFR,50,0.5%,0.5%,NON DÉTERMINÉ,2463202,200000082,NON DÉTERMINÉ,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Attaque / Attaque augmentée,Attaque augmentée 1/3,31100102,0,1,1,1 SpecialPoint,0,AttFR,100,1%,1%,1,,200000086,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle I / Attaque / Attaque augmentée,Attaque augmentée 2/3,31100102,0,1,2,NON DÉTERMINÉ,0,AttFR,100,1%,1%,NON DÉTERMINÉ,,200000086,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Attaque / Attaque augmentée,Attaque augmentée 3/3,31100102,0,1,3,NON DÉTERMINÉ,0,AttFR,100,1%,1%,NON DÉTERMINÉ,,200000086,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Défense / Défense augmentée,Défense augmentée 1/3,31100201,1,2,1,1 SpecialPoint,1,ArmFR,100,1%,1%,1,31100102,200000087,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle I / Défense / Défense augmentée,Défense augmentée 2/3,31100201,1,2,2,NON DÉTERMINÉ,1,ArmFR,100,1%,1%,NON DÉTERMINÉ,31100102,200000087,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Défense / Défense augmentée,Défense augmentée 3/3,31100201,1,2,3,NON DÉTERMINÉ,1,ArmFR,100,1%,1%,NON DÉTERMINÉ,31100102,200000087,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / PV / PV augmentés,PV augmentés 1/3,31100203,1,2,1,1 SpecialPoint,1,IncreaseMHP,100,1%,1%,1,31100102,200000088,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
